id;reward;name;country;budget;fees;kinopoisk_rating;imdb_rating
46063;Лучшие 500 фильмов;Белорусский вокзал;СССР;0;0;8.061;7.9
75871;Лучшие 500 фильмов;Олдбой;Корея Южная;201000000;1003660335;8.107;8.4
7722;Лучшие 500 фильмов;Сладкая жизнь;Италия, Франция;0;1307572000;8.021;8.1
46494;Лучшие 500 фильмов;Мачеха;СССР;0;0;8.094;7.3
3730;Лучшие 500 фильмов;Таинственная река;США, Австралия;1675000000;10507075340;7.797;8.0
8403;Лучшие 500 фильмов;Небо над Берлином;Германия (ФРГ), Франция;0;215079313;7.938;8.1
77443;Лучшие 500 фильмов;Город грехов;США;2680000000;10635165940;7.848;8.0
45275;Лучшие 500 фильмов;Зеркало;СССР;0;0;8.088;8.1
38898;Лучшие 500 фильмов;Война и мир;СССР;1943000000;0;8.075;7.9
693126;Лучшие 500 фильмов;Город героев;США;11055000000;44073847004;7.929;7.8
9691;Лучшие 500 фильмов;Бесславные ублюдки;Германия, США;4690000000;21537531163;7.868;8.3
18368;Лучшие 500 фильмов;Перед рассветом;США, Австрия, Швейцария;167500000;1523272135;7.93;8.1
77277;Лучшие 500 фильмов;Ищите женщину ;СССР;0;0;8.169;8.0
64131;Лучшие 500 фильмов;Жить;Япония;0;3701080;8.144;8.3
463724;Лучшие 500 фильмов;Великий Гэтсби;Австралия, США;7035000000;23519708073;7.94;7.3
518037;Лучшие 500 фильмов;Невозможное;Испания, США;3015000000;13271843204;7.902;7.6
48555;Лучшие 500 фильмов;Жизнь как чудо;Сербия, Франция, Италия;536000000;0;7.887;7.6
43911;Лучшие 500 фильмов;Солярис;СССР;0;0;8.032;8.1
4466;Лучшие 500 фильмов;Что гложет Гилберта Грейпа?;США;737000000;672195255;7.939;7.8
445;Лучшие 500 фильмов;Телохранитель;Япония;0;0;8.015;8.3
340;Лучшие 500 фильмов;Подозрительные лица;США, Германия;402000000;1563885056;7.863;8.6
462606;Лучшие 500 фильмов;Области тьмы;США;1742000000;10843913485;7.981;7.4
486;Лучшие 500 фильмов;Трамвай «Желание»;США;120600000;536000000;8.033;8.0
77795;Лучшие 500 фильмов;Триумф;США, Канада;0;1030415914;7.849;7.5
7665;Лучшие 500 фильмов;Звуки музыки;США;549399933;10630981656;8.054;8.0
44924;Лучшие 500 фильмов;Король Лир;СССР;0;0;8.089;8.3
252330;Лучшие 500 фильмов;Босоногий Гэн;Япония;0;0;8.01;8.1
7908;Лучшие 500 фильмов;В поисках Немо;США;6298000000;61756798487;7.863;8.1
1957;Лучшие 500 фильмов;Перл-Харбор;США;9380000000;30097803315;7.923;6.1
42248;Лучшие 500 фильмов;Тихий Дон;СССР;0;0;8.128;7.8
688;Лучшие 500 фильмов;Гарри Поттер и Тайная комната;Великобритания, США, Германия;6700000000;58891635478;8.031;7.4
4511;Лучшие 500 фильмов;Волшебная страна;США, Великобритания;1675000000;7823359252;7.883;7.7
46792;Лучшие 500 фильмов;Три плюс два;СССР;0;0;8.03;7.5
47237;Лучшие 500 фильмов;Бэтмен: Начало;США, Великобритания;10050000000;25072651091;7.906;8.3
4688;Лучшие 500 фильмов;Большой;США;1206000000;10161807858;7.918;7.3
45665;Лучшие 500 фильмов;Варвара-краса, длинная коса;СССР;0;0;8.066;7.3
848894;Лучшие 500 фильмов;Вторая жизнь Уве;Швеция;0;233114105;7.863;7.7
451;Лучшие 500 фильмов;Непрощенный;США;964800000;10663548949;7.859;8.2
8455;Лучшие 500 фильмов;За пригоршню долларов;Италия, Испания, Германия (ФРГ);13400000;234500000;8.029;8.0
507;Лучшие 500 фильмов;Терминатор;Великобритания, США;428800000;5250870400;7.973;8.0
43423;Лучшие 500 фильмов;Афоня;СССР;0;0;8.031;8.0
347;Лучшие 500 фильмов;Лоуренс Аравийский;Великобритания;1005000000;3003217648;8.018;8.3
46047;Лучшие 500 фильмов;Бег;СССР;0;0;8.067;8.0
79836;Лучшие 500 фильмов;Токийская повесть;Япония;0;0;8.045;8.2
453406;Лучшие 500 фильмов;Безумный Макс: Дорога ярости;Австралия, США;10050000000;25383508780;7.813;8.1
278273;Лучшие 500 фильмов;Чёрный лебедь;США;871000000;22069669082;7.735;8.0
6695;Лучшие 500 фильмов;Звёздные войны: Эпизод 1 – Скрытая угроза;США;7705000000;68811993359;7.906;6.5
8231;Лучшие 500 фильмов;Золушка;США;194300000;2284776983;8.055;7.3
391762;Лучшие 500 фильмов;Ушедшие;Япония;0;4552360627;8.09;8.1
16115;Лучшие 500 фильмов;За бортом;США;0;1789783529;7.996;6.8
1942;Лучшие 500 фильмов;Холодная гора;Великобритания, Италия, Румыния, США;5293000000;11591905103;7.85;7.2
41830;Лучшие 500 фильмов;Море внутри;Испания, Франция, Италия;760000000;2558803968;7.817;8.0
26821;Лучшие 500 фильмов;Брак по-итальянски;Италия, Франция;0;0;8.037;7.5
909720;Лучшие 500 фильмов;Ван Гог. С любовью, Винсент;Польша, Великобритания, США;380000000;2826573555;8.212;7.8
44838;Лучшие 500 фильмов;Когда деревья были большими;СССР;0;0;8.033;7.8
320230;Лучшие 500 фильмов;Класс;Эстония;7600000;0;7.816;8.0
863;Лучшие 500 фильмов;Тренировочный день;США, Австралия;3015000000;7026707611;7.833;7.7
2428;Лучшие 500 фильмов;Ведьмина служба доставки;Япония;0;0;8.044;7.9
20897;Лучшие 500 фильмов;Беглецы;Франция;0;0;7.944;7.1
442;Лучшие 500 фильмов;Простая история;Франция, Великобритания, США;670000000;415603948;7.822;8.0
86311;Лучшие 500 фильмов;Пустой дом;Корея Южная, Япония;67000000;22908238;7.817;8.1
41381;Лучшие 500 фильмов;В августе 44-го;Россия, Беларусь;338536260;0;7.884;7.6
43974;Лучшие 500 фильмов;Старая, старая сказка;СССР;0;0;8.072;7.6
309;Лучшие 500 фильмов;Эквилибриум;США;1340000000;359096215;7.898;7.5
26656;Лучшие 500 фильмов;Коты-аристократы;США;268000000;1169328086;8.09;7.1
46403;Лучшие 500 фильмов;Неподдающиеся;СССР;0;0;8.056;7.3
565;Лучшие 500 фильмов;Игра навылет;Великобритания, США;0;0;7.961;8.1
43602;Лучшие 500 фильмов;Самая обаятельная и привлекательная;СССР;0;0;8.1;7.5
422134;Лучшие 500 фильмов;Забивание камнями Сорайи М.;США;0;72946518;8.07;8.0
60285;Лучшие 500 фильмов;Боги, наверное, сошли с ума;Ботсвана, ЮАР;335000000;2012129461;7.988;7.3
